Type,pi,Machine,Part,User_ID,Time,Date
LOG_ON,counter01,42,2124-01gf,396,08:26:38,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:26:41,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:26:48,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:26:54,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:27:03,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:27:25,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:27:43,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:27:53,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:30:31,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:30:35,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:30:40,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:30:44,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:31:08,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:31:17,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:31:29,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:31:33,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:31:41,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:31:47,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:32:00,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:32:06,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:32:10,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:32:28,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:32:33,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:32:37,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:32:57,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:33:02,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:33:08,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:33:13,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:33:24,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:39:10,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:41:40,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:41:48,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:41:59,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:42:20,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:52:50,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:53:07,2021-05-27
SHOT,counter01,42,2124-01gf,396,08:58:56,2021-05-27
