Type,pi,Machine,Part,User_ID,Time,Date
LOG_ON,3,41,36650,534,08:21:31,2021-10-14
SHOT,3,41,36650,534,08:21:49,2021-10-14
SHOT,3,41,36650,534,08:21:53,2021-10-14
SHOT,3,41,36650,534,08:22:08,2021-10-14
SHOT,3,41,36650,534,08:22:17,2021-10-14
SHOT,3,41,36650,534,08:22:23,2021-10-14
SHOT,3,41,36650,534,08:22:27,2021-10-14
SHOT,3,41,36650,534,08:22:31,2021-10-14
SHOT,3,41,36650,534,08:22:34,2021-10-14
SHOT,3,41,36650,534,08:22:38,2021-10-14
SHOT,3,41,36650,534,08:22:45,2021-10-14
SHOT,3,41,36650,534,08:23:05,2021-10-14
SHOT,3,41,36650,534,08:23:11,2021-10-14
SHOT,3,41,36650,534,08:23:15,2021-10-14
SHOT,3,41,36650,534,08:23:23,2021-10-14
SHOT,3,41,36650,534,08:23:27,2021-10-14
SHOT,3,41,36650,534,08:23:31,2021-10-14
SHOT,3,41,36650,534,08:23:35,2021-10-14
SHOT,3,41,36650,534,08:23:39,2021-10-14
SHOT,3,41,36650,534,08:23:45,2021-10-14
SHOT,3,41,36650,534,08:23:50,2021-10-14
SHOT,3,41,36650,534,08:23:54,2021-10-14
SHOT,3,41,36650,534,08:24:01,2021-10-14
SHOT,3,41,36650,534,08:24:05,2021-10-14
SHOT,3,41,36650,534,08:24:08,2021-10-14
SHOT,3,41,36650,534,08:24:12,2021-10-14
SHOT,3,41,36650,534,08:24:17,2021-10-14
SHOT,3,41,36650,534,08:24:20,2021-10-14
SHOT,3,41,36650,534,08:24:24,2021-10-14
SHOT,3,41,36650,534,08:24:28,2021-10-14
SHOT,3,41,36650,534,08:24:32,2021-10-14
SHOT,3,41,36650,534,08:24:36,2021-10-14
SHOT,3,41,36650,534,08:24:40,2021-10-14
SHOT,3,41,36650,534,08:24:44,2021-10-14
SHOT,3,41,36650,534,08:24:47,2021-10-14
SHOT,3,41,36650,534,08:24:51,2021-10-14
SHOT,3,41,36650,534,08:24:55,2021-10-14
SHOT,3,41,36650,534,08:24:59,2021-10-14
SHOT,3,41,36650,534,08:25:02,2021-10-14
SHOT,3,41,36650,534,08:25:07,2021-10-14
SHOT,3,41,36650,534,08:25:11,2021-10-14
SHOT,3,41,36650,534,08:25:15,2021-10-14
SHOT,3,41,36650,534,08:25:18,2021-10-14
SHOT,3,41,36650,534,08:25:22,2021-10-14
SHOT,3,41,36650,534,08:25:27,2021-10-14
SHOT,3,41,36650,534,08:25:33,2021-10-14
SHOT,3,41,36650,534,08:25:37,2021-10-14
SHOT,3,41,36650,534,08:25:42,2021-10-14
SHOT,3,41,36650,534,08:25:45,2021-10-14
SHOT,3,41,36650,534,08:25:48,2021-10-14
SHOT,3,41,36650,534,08:25:52,2021-10-14
SHOT,3,41,36650,534,08:25:55,2021-10-14
SHOT,3,41,36650,534,08:26:01,2021-10-14
SHOT,3,41,36650,534,08:26:05,2021-10-14
SHOT,3,41,36650,534,08:26:09,2021-10-14
SHOT,3,41,36650,534,08:26:13,2021-10-14
SHOT,3,41,36650,534,08:26:16,2021-10-14
SHOT,3,41,36650,534,08:26:20,2021-10-14
SHOT,3,41,36650,534,08:26:23,2021-10-14
SHOT,3,41,36650,534,08:26:27,2021-10-14
SHOT,3,41,36650,534,08:26:31,2021-10-14
SHOT,3,41,36650,534,08:26:35,2021-10-14
SHOT,3,41,36650,534,08:26:44,2021-10-14
SHOT,3,41,36650,534,08:26:51,2021-10-14
SHOT,3,41,36650,534,08:26:55,2021-10-14
SHOT,3,41,36650,534,08:26:59,2021-10-14
SHOT,3,41,36650,534,08:27:02,2021-10-14
SHOT,3,41,36650,534,08:27:07,2021-10-14
SHOT,3,41,36650,534,08:27:10,2021-10-14
SHOT,3,41,36650,534,08:27:14,2021-10-14
SHOT,3,41,36650,534,08:27:19,2021-10-14
SHOT,3,41,36650,534,08:27:23,2021-10-14
SHOT,3,41,36650,534,08:27:26,2021-10-14
SHOT,3,41,36650,534,08:27:31,2021-10-14
SHOT,3,41,36650,534,08:27:34,2021-10-14
SHOT,3,41,36650,534,08:27:38,2021-10-14
SHOT,3,41,36650,534,08:27:42,2021-10-14
SHOT,3,41,36650,534,08:27:46,2021-10-14
SHOT,3,41,36650,534,08:27:51,2021-10-14
SHOT,3,41,36650,534,08:27:55,2021-10-14
SHOT,3,41,36650,534,08:27:58,2021-10-14
SHOT,3,41,36650,534,08:28:04,2021-10-14
SHOT,3,41,36650,534,08:28:50,2021-10-14
SHOT,3,41,36650,534,08:28:55,2021-10-14
SHOT,3,41,36650,534,08:29:00,2021-10-14
SHOT,3,41,36650,534,08:29:05,2021-10-14
SHOT,3,41,36650,534,08:29:09,2021-10-14
SHOT,3,41,36650,534,08:29:13,2021-10-14
SHOT,3,41,36650,534,08:29:16,2021-10-14
SHOT,3,41,36650,534,08:29:20,2021-10-14
SHOT,3,41,36650,534,08:29:26,2021-10-14
SHOT,3,41,36650,534,08:29:31,2021-10-14
SHOT,3,41,36650,534,08:29:35,2021-10-14
SHOT,3,41,36650,534,08:29:39,2021-10-14
SHOT,3,41,36650,534,08:29:43,2021-10-14
SHOT,3,41,36650,534,08:29:47,2021-10-14
SHOT,3,41,36650,534,08:29:52,2021-10-14
SHOT,3,41,36650,534,08:29:56,2021-10-14
SHOT,3,41,36650,534,08:30:04,2021-10-14
SHOT,3,41,36650,534,08:30:09,2021-10-14
SHOT,3,41,36650,534,08:30:12,2021-10-14
SHOT,3,41,36650,534,08:30:16,2021-10-14
SHOT,3,41,36650,534,08:30:21,2021-10-14
SHOT,3,41,36650,534,08:30:33,2021-10-14
SHOT,3,41,36650,534,08:30:36,2021-10-14
SHOT,3,41,36650,534,08:30:40,2021-10-14
SHOT,3,41,36650,534,08:30:44,2021-10-14
SHOT,3,41,36650,534,08:30:48,2021-10-14
SHOT,3,41,36650,534,08:30:51,2021-10-14
SHOT,3,41,36650,534,08:30:55,2021-10-14
SHOT,3,41,36650,534,08:31:00,2021-10-14
SHOT,3,41,36650,534,08:31:05,2021-10-14
SHOT,3,41,36650,534,08:31:09,2021-10-14
SHOT,3,41,36650,534,08:31:12,2021-10-14
SHOT,3,41,36650,534,08:31:16,2021-10-14
SHOT,3,41,36650,534,08:31:19,2021-10-14
SHOT,3,41,36650,534,08:31:23,2021-10-14
