Type,pi,Machine,Part,Card_ID,User_ID,Time,Date
LOG_ON,counter01,102,4002345A,783719607216,Test2,14:40:43,2021-02-27
LOG_OFF,counter01,102,4002345A,783719607216,Test2,14:40:53,2021-02-27
LOG_ON,counter01,102,4002345A,294138555920,Test3,16:38:54,2021-02-27
SHOT,counter01,102,4002345A,294138555920,Test3,16:38:55,2021-02-27
SHOT,counter01,102,4002345A,294138555920,Test3,16:38:57,2021-02-27
SHOT,counter01,102,4002345A,294138555920,Test3,16:38:59,2021-02-27
MAS,counter01,102,4002345A,294138555920,Test3,16:39:14,2021-02-27
MAE,counter01,102,4002345A,294138555920,Test3,16:57:53,2021-02-27
SHOT,counter01,102,4002345A,294138555920,Test3,16:57:55,2021-02-27
SHOT,counter01,102,4002345A,294138555920,Test3,16:59:22,2021-02-27
SHOT,counter01,102,4002345A,294138555920,Test3,16:59:23,2021-02-27
LOG_OFF,counter01,102,4002345A,294138555920,Test3,16:59:34,2021-02-27
LOG_ON,counter01,102,4002345A,783719607216,Test2,17:32:39,2021-02-27
SHOT,counter01,102,4002345A,783719607216,Test2,17:32:40,2021-02-27
SHOT,counter01,102,4002345A,783719607216,Test2,17:32:42,2021-02-27
SHOT,counter01,102,4002345A,783719607216,Test2,17:32:43,2021-02-27
SHOT,counter01,102,4002345A,783719607216,Test2,17:32:44,2021-02-27
SHOT,counter01,102,4002345A,783719607216,Test2,17:32:46,2021-02-27
SHOT,counter01,102,4002345A,783719607216,Test2,17:32:47,2021-02-27
SHOT,counter01,102,4002345A,783719607216,Test2,17:32:48,2021-02-27
SHOT,counter01,102,4002345A,783719607216,Test2,19:44:05,2021-02-27
SHOT,counter01,102,4002345A,783719607216,Test2,19:44:07,2021-02-27
LOG_OFF,counter01,102,4002345A,783719607216,Test2,19:44:17,2021-02-27
LOG_ON,counter01,102,4002345A,783719607216,Test2,19:48:29,2021-02-27
SHOT,counter01,102,4002345A,783719607216,Test2,19:48:30,2021-02-27
SHOT,counter01,102,4002345A,783719607216,Test2,19:48:31,2021-02-27
LOG_OFF,counter01,102,4002345A,783719607216,Test2,19:48:42,2021-02-27
LOG_ON,counter01,102,4002345A,294138555920,Test3,19:49:54,2021-02-27
SHOT,counter01,102,4002345A,294138555920,Test3,19:49:57,2021-02-27
SHOT,counter01,102,4002345A,294138555920,Test3,19:49:58,2021-02-27
SHOT,counter01,102,4002345A,294138555920,Test3,19:56:47,2021-02-27
LOG_OFF,counter01,102,4002345A,294138555920,Test3,19:56:57,2021-02-27
LOG_ON,counter01,102,4002345A,365181741822,Test1,20:12:00,2021-02-27
SHOT,counter01,102,4002345A,365181741822,Test1,20:12:02,2021-02-27
SHOT,counter01,102,4002345A,365181741822,Test1,20:12:03,2021-02-27
SHOT,counter01,102,4002345A,365181741822,Test1,20:12:04,2021-02-27
SHOT,counter01,102,4002345A,365181741822,Test1,20:12:05,2021-02-27
LOG_OFF,counter01,102,4002345A,365181741822,Test1,20:12:16,2021-02-27
LOG_ON,counter01,102,4002345A,365181741822,Test1,21:17:46,2021-02-27
SHOT,counter01,102,4002345A,365181741822,Test1,22:00:30,2021-02-27
SHOT,counter01,102,4002345A,365181741822,Test1,22:00:32,2021-02-27
LOG_OFF,counter01,102,4002345A,365181741822,Test1,22:00:50,2021-02-27
