Type,pi,Machine,Part,User_ID,Time,Date
LOG_ON,pi03,10,1000,1002,12:29:02,2021-06-03
SHOT,pi03,10,1000,1002,12:29:15,2021-06-03
SHOT,pi03,10,1000,1002,12:29:16,2021-06-03
SHOT,pi03,10,1000,1002,12:29:17,2021-06-03
LOG_OFF,pi03,10,1000,1002,12:29:18,2021-06-03
LOG_ON,pi03,10,1000,1002,12:29:24,2021-06-03
MAS,pi03,10,1000,1002,12:29:25,2021-06-03
MAE,pi03,10,1000,1002,12:29:27,2021-06-03
LOG_OFF,pi03,10,1000,1002,12:29:30,2021-06-03
LOG_ON,3,22,55446r,1001,12:30:22,2021-06-03
LOG_OFF,3,22,55446r,1001,12:30:25,2021-06-03
