Type,pi,Machine,Part,Card_ID,User_ID,Time,Date
LOG_ON,counter01,102,4002345A,783719607216,Test2,17:10:01,2021-03-01
SHOT,counter01,102,4002345A,783719607216,Test2,17:10:04,2021-03-01
SHOT,counter01,102,4002345A,783719607216,Test2,17:10:06,2021-03-01
LOG_OFF,counter01,102,4002345A,783719607216,Test2,17:10:16,2021-03-01
LOG_ON,counter01,102,4002345A,783719607216,Test2,17:33:17,2021-03-01
SHOT,counter01,102,4002345A,783719607216,Test2,17:33:18,2021-03-01
SHOT,counter01,102,4002345A,783719607216,Test2,17:33:19,2021-03-01
SHOT,counter01,102,4002345A,783719607216,Test2,17:33:22,2021-03-01
SHOT,counter01,102,4002345A,783719607216,Test2,17:33:39,2021-03-01
MAS,counter01,102,4002345A,783719607216,Test2,17:33:49,2021-03-01
MAE,counter01,102,4002345A,783719607216,Test2,17:33:58,2021-03-01
LOG_OFF,counter01,102,4002345A,783719607216,Test2,17:34:04,2021-03-01
