Type,pi,Machine,Part,User_ID,Time,Date
LOG_ON,pi03,10,1000,327,15:55:52,2021-06-26
LOG_OFF,pi03,10,1000,327,15:55:57,2021-06-26
LOG_ON,pi03,10,1000,327,15:56:00,2021-06-26
LOG_OFF,pi03,10,1000,327,15:56:03,2021-06-26
LOG_ON,pi03,10,1000,327,16:44:16,2021-06-26
MAS,pi03,10,1000,327,16:45:30,2021-06-26
MAE,pi03,10,1000,327,16:45:31,2021-06-26
LOG_OFF,pi03,10,1000,327,16:45:32,2021-06-26
LOG_ON,pi03,10,1000,327,16:45:54,2021-06-26
LOG_OFF,pi03,10,1000,327,16:46:04,2021-06-26
LOG_ON,pi03,10,1000,327,16:47:21,2021-06-26
LOG_OFF,pi03,10,1000,327,16:47:54,2021-06-26
LOG_ON,pi03,10,1000,327,16:49:18,2021-06-26
LOG_OFF,pi03,10,1000,327,16:49:23,2021-06-26
LOG_ON,pi03,10,1000,327,16:49:26,2021-06-26
LOG_OFF,pi03,10,1000,327,16:49:33,2021-06-26
LOG_ON,pi03,10,1000,327,16:49:36,2021-06-26
LOG_OFF,pi03,10,1000,327,16:49:43,2021-06-26
LOG_ON,pi03,10,1000,327,16:45:03,2021-06-26
SHOT,pi03,10,1000,327,16:45:53,2021-06-26
SHOT,pi03,10,1000,327,17:09:59,2021-06-26
SHOT,pi03,10,1000,327,17:10:03,2021-06-26
