Type,pi,Machine,Part,User_ID,Time,Date
LOG_ON,pi02,Manual,70006-01-X4,494,07:00:21,2021-06-21
LOG_OFF,pi02,Manual,70006-01-X4,494,07:03:46,2021-06-21
LOG_ON,pi02,Manual,70006-01-X4,494,07:03:49,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:05:13,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:07:04,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:08:56,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:10:23,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:11:54,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:14:03,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:15:52,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:17:50,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:20:01,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:22:22,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:26:15,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:28:11,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:32:35,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:34:37,2021-06-21
SHOT,pi02,Manual,70006-01-X4,494,07:37:19,2021-06-21
LOG_OFF,pi02,Manual,70006-01-X4,494,07:37:44,2021-06-21
