Type,pi,Machine,Part,Card_ID,User_ID,Time,Date
LOG_ON,counter01,102,4002345A,294138555920,Test3,16:29:39,2021-02-26
SHOT,counter01,102,4002345A,294138555920,Test3,16:29:40,2021-02-26
SHOT,counter01,102,4002345A,294138555920,Test3,16:29:41,2021-02-26
SHOT,counter01,102,4002345A,294138555920,Test3,16:29:42,2021-02-26
SHOT,counter01,102,4002345A,294138555920,Test3,16:29:42,2021-02-26
LOG_OFF,counter01,102,4002345A,294138555920,Test3,16:29:53,2021-02-26
LOG_ON,counter01,102,4002345A,783719607216,Test2,16:39:36,2021-02-26
SHOT,counter01,102,4002345A,783719607216,Test2,16:39:39,2021-02-26
MAS,counter01,102,4002345A,783719607216,Test2,16:39:47,2021-02-26
MAE,counter01,102,4002345A,783719607216,Test2,16:41:36,2021-02-26
SHOT,counter01,102,4002345A,783719607216,Test2,16:41:39,2021-02-26
LOG_OFF,counter01,102,4002345A,783719607216,Test2,16:41:49,2021-02-26
LOG_ON,counter01,102,4002345A,294138555920,Test3,17:40:19,2021-02-26
SHOT,counter01,102,4002345A,294138555920,Test3,17:40:21,2021-02-26
SHOT,counter01,102,4002345A,294138555920,Test3,17:40:22,2021-02-26
SHOT,counter01,102,4002345A,294138555920,Test3,17:40:24,2021-02-26
SHOT,counter01,102,4002345A,294138555920,Test3,17:40:26,2021-02-26
SHOT,counter01,102,4002345A,294138555920,Test3,17:40:42,2021-02-26
SHOT,counter01,102,4002345A,294138555920,Test3,17:40:44,2021-02-26
SHOT,counter01,102,4002345A,294138555920,Test3,17:40:46,2021-02-26
LOG_OFF,counter01,102,4002345A,294138555920,Test3,17:41:01,2021-02-26
LOG_ON,counter01,102,4002345A,783719607216,Test2,17:41:05,2021-02-26
MAS,counter01,102,4002345A,783719607216,Test2,17:41:12,2021-02-26
MAE,counter01,102,4002345A,783719607216,Test2,17:42:13,2021-02-26
LOG_OFF,counter01,102,4002345A,783719607216,Test2,17:50:44,2021-02-26
