Type,pi,Machine,Part,User_ID,Time,Date
LOG_ON,pi02,Manual,12345-0-OP3,307,09:52:56,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,09:53:00,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,09:53:03,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,09:53:06,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,09:53:09,2021-06-07
LOG_OFF,pi02,Manual,12345-0-OP3,307,09:53:11,2021-06-07
LOG_ON,pi02,Manual,12345-0-OP3,307,10:09:08,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:09:16,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:09:16,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:09:20,2021-06-07
LOG_OFF,pi02,Manual,12345-0-OP3,307,10:09:25,2021-06-07
LOG_ON,pi02,Manual,12345-0-OP3,307,10:09:32,2021-06-07
MAS,pi02,Manual,12345-0-OP3,307,10:09:41,2021-06-07
MAE,pi02,Manual,12345-0-OP3,307,10:09:49,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:11:55,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:13:11,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:14:23,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:16:05,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:17:34,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:19:04,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:20:50,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:22:22,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:23:54,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:25:32,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:27:11,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:28:53,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:30:04,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:31:25,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:32:55,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:34:29,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:35:58,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:37:18,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:38:39,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:40:25,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,10:43:44,2021-06-07
LOG_OFF,pi02,Manual,12345-0-OP3,307,10:44:09,2021-06-07
LOG_ON,pi02,Manual,12345-0-OP3,307,11:03:54,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,11:05:33,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,11:07:05,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,11:08:40,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,11:10:27,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,11:12:03,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,11:13:47,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,11:15:17,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,307,11:16:46,2021-06-07
LOG_OFF,pi02,Manual,12345-0-OP3,307,11:17:29,2021-06-07
LOG_ON,pi02,Manual,12345-0-OP3,557,13:00:04,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:05:44,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:06:24,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:08:33,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:09:08,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:11:19,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:12:10,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:14:18,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:15:10,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:17:22,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:18:23,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:20:36,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:21:32,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:23:40,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:24:32,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:26:48,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:27:55,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:30:45,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:31:57,2021-06-07
SHOT,pi02,Manual,12345-0-OP3,557,13:35:16,2021-06-07
LOG_OFF,pi02,Manual,12345-0-OP3,557,13:40:39,2021-06-07
