Type,pi,Machine,Part,User_ID,Time,Date
LOG_ON,3,41,1104-1,307,07:41:31,2021-08-04
SHOT,3,41,1104-1,307,07:43:01,2021-08-04
SHOT,3,41,1104-1,307,07:43:10,2021-08-04
SHOT,3,41,1104-1,307,07:43:16,2021-08-04
TIME_OUT,3,41,1104-1,307,07:48:16,2021-08-04
LOG_ON,3,41,1104-1,539,08:11:56,2021-08-04
SHOT,3,41,1104-1,539,08:12:47,2021-08-04
SHOT,3,41,1104-1,539,08:12:51,2021-08-04
SHOT,3,41,1104-1,539,08:12:59,2021-08-04
SHOT,3,41,1104-1,539,08:13:11,2021-08-04
SHOT,3,41,1104-1,539,08:13:14,2021-08-04
SHOT,3,41,1104-1,539,08:13:18,2021-08-04
SHOT,3,41,1104-1,539,08:13:22,2021-08-04
SHOT,3,41,1104-1,539,08:13:29,2021-08-04
SHOT,3,41,1104-1,539,08:13:35,2021-08-04
SHOT,3,41,1104-1,539,08:13:38,2021-08-04
SHOT,3,41,1104-1,539,08:13:42,2021-08-04
SHOT,3,41,1104-1,539,08:13:47,2021-08-04
SHOT,3,41,1104-1,539,08:13:51,2021-08-04
SHOT,3,41,1104-1,539,08:14:04,2021-08-04
SHOT,3,41,1104-1,539,08:14:07,2021-08-04
SHOT,3,41,1104-1,539,08:14:11,2021-08-04
SHOT,3,41,1104-1,539,08:14:15,2021-08-04
SHOT,3,41,1104-1,539,08:14:19,2021-08-04
SHOT,3,41,1104-1,539,08:14:25,2021-08-04
SHOT,3,41,1104-1,539,08:14:29,2021-08-04
SHOT,3,41,1104-1,539,08:14:32,2021-08-04
SHOT,3,41,1104-1,539,08:14:41,2021-08-04
SHOT,3,41,1104-1,539,08:14:44,2021-08-04
SHOT,3,41,1104-1,539,08:14:49,2021-08-04
SHOT,3,41,1104-1,539,08:14:52,2021-08-04
SHOT,3,41,1104-1,539,08:14:56,2021-08-04
SHOT,3,41,1104-1,539,08:15:04,2021-08-04
SHOT,3,41,1104-1,539,08:15:08,2021-08-04
SHOT,3,41,1104-1,539,08:15:12,2021-08-04
SHOT,3,41,1104-1,539,08:15:18,2021-08-04
SHOT,3,41,1104-1,539,08:15:23,2021-08-04
SHOT,3,41,1104-1,539,08:15:30,2021-08-04
SHOT,3,41,1104-1,539,08:15:35,2021-08-04
SHOT,3,41,1104-1,539,08:15:47,2021-08-04
SHOT,3,41,1104-1,539,08:15:51,2021-08-04
SHOT,3,41,1104-1,539,08:15:55,2021-08-04
SHOT,3,41,1104-1,539,08:16:06,2021-08-04
SHOT,3,41,1104-1,539,08:16:11,2021-08-04
SHOT,3,41,1104-1,539,08:16:15,2021-08-04
SHOT,3,41,1104-1,539,08:16:19,2021-08-04
SHOT,3,41,1104-1,539,08:16:24,2021-08-04
SHOT,3,41,1104-1,539,08:16:28,2021-08-04
SHOT,3,41,1104-1,539,08:16:34,2021-08-04
SHOT,3,41,1104-1,539,08:16:41,2021-08-04
SHOT,3,41,1104-1,539,08:16:48,2021-08-04
SHOT,3,41,1104-1,539,08:16:52,2021-08-04
SHOT,3,41,1104-1,539,08:16:56,2021-08-04
SHOT,3,41,1104-1,539,08:16:59,2021-08-04
SHOT,3,41,1104-1,539,08:17:03,2021-08-04
SHOT,3,41,1104-1,539,08:17:09,2021-08-04
SHOT,3,41,1104-1,539,08:17:22,2021-08-04
SHOT,3,41,1104-1,539,08:17:27,2021-08-04
SHOT,3,41,1104-1,539,08:17:30,2021-08-04
SHOT,3,41,1104-1,539,08:17:33,2021-08-04
SHOT,3,41,1104-1,539,08:17:36,2021-08-04
SHOT,3,41,1104-1,539,08:17:41,2021-08-04
SHOT,3,41,1104-1,539,08:18:20,2021-08-04
SHOT,3,41,1104-1,539,08:18:23,2021-08-04
SHOT,3,41,1104-1,539,08:18:27,2021-08-04
SHOT,3,41,1104-1,539,08:18:31,2021-08-04
SHOT,3,41,1104-1,539,08:18:34,2021-08-04
SHOT,3,41,1104-1,539,08:18:43,2021-08-04
SHOT,3,41,1104-1,539,08:18:47,2021-08-04
SHOT,3,41,1104-1,539,08:18:51,2021-08-04
SHOT,3,41,1104-1,539,08:18:57,2021-08-04
SHOT,3,41,1104-1,539,08:19:01,2021-08-04
SHOT,3,41,1104-1,539,08:19:05,2021-08-04
SHOT,3,41,1104-1,539,08:19:09,2021-08-04
SHOT,3,41,1104-1,539,08:19:45,2021-08-04
SHOT,3,41,1104-1,539,08:19:48,2021-08-04
SHOT,3,41,1104-1,539,08:19:52,2021-08-04
SHOT,3,41,1104-1,539,08:19:56,2021-08-04
SHOT,3,41,1104-1,539,08:20:00,2021-08-04
SHOT,3,41,1104-1,539,08:20:03,2021-08-04
SHOT,3,41,1104-1,539,08:20:11,2021-08-04
SHOT,3,41,1104-1,539,08:20:18,2021-08-04
SHOT,3,41,1104-1,539,08:20:22,2021-08-04
SHOT,3,41,1104-1,539,08:20:25,2021-08-04
SHOT,3,41,1104-1,539,08:20:36,2021-08-04
SHOT,3,41,1104-1,539,08:20:42,2021-08-04
SHOT,3,41,1104-1,539,08:20:46,2021-08-04
SHOT,3,41,1104-1,539,08:20:50,2021-08-04
SHOT,3,41,1104-1,539,08:20:53,2021-08-04
SHOT,3,41,1104-1,539,08:21:00,2021-08-04
SHOT,3,41,1104-1,539,08:21:04,2021-08-04
SHOT,3,41,1104-1,539,08:21:09,2021-08-04
SHOT,3,41,1104-1,539,08:21:14,2021-08-04
SHOT,3,41,1104-1,539,08:21:18,2021-08-04
SHOT,3,41,1104-1,539,08:21:22,2021-08-04
SHOT,3,41,1104-1,539,08:21:26,2021-08-04
SHOT,3,41,1104-1,539,08:21:30,2021-08-04
SHOT,3,41,1104-1,539,08:21:35,2021-08-04
SHOT,3,41,1104-1,539,08:21:39,2021-08-04
SHOT,3,41,1104-1,539,08:21:44,2021-08-04
SHOT,3,41,1104-1,539,08:21:47,2021-08-04
SHOT,3,41,1104-1,539,08:22:02,2021-08-04
SHOT,3,41,1104-1,539,08:22:05,2021-08-04
SHOT,3,41,1104-1,539,08:22:10,2021-08-04
SHOT,3,41,1104-1,539,08:22:14,2021-08-04
SHOT,3,41,1104-1,539,08:22:17,2021-08-04
SHOT,3,41,1104-1,539,08:22:25,2021-08-04
SHOT,3,41,1104-1,539,08:22:28,2021-08-04
SHOT,3,41,1104-1,539,08:22:31,2021-08-04
SHOT,3,41,1104-1,539,08:22:34,2021-08-04
SHOT,3,41,1104-1,539,08:22:38,2021-08-04
SHOT,3,41,1104-1,539,08:22:45,2021-08-04
SHOT,3,41,1104-1,539,08:22:48,2021-08-04
SHOT,3,41,1104-1,539,08:22:52,2021-08-04
SHOT,3,41,1104-1,539,08:22:55,2021-08-04
SHOT,3,41,1104-1,539,08:22:59,2021-08-04
SHOT,3,41,1104-1,539,08:23:05,2021-08-04
SHOT,3,41,1104-1,539,08:23:11,2021-08-04
SHOT,3,41,1104-1,539,08:23:14,2021-08-04
SHOT,3,41,1104-1,539,08:23:17,2021-08-04
SHOT,3,41,1104-1,539,08:23:25,2021-08-04
SHOT,3,41,1104-1,539,08:23:32,2021-08-04
SHOT,3,41,1104-1,539,08:23:37,2021-08-04
SHOT,3,41,1104-1,539,08:23:41,2021-08-04
SHOT,3,41,1104-1,539,08:23:45,2021-08-04
SHOT,3,41,1104-1,539,08:23:50,2021-08-04
SHOT,3,41,1104-1,539,08:24:00,2021-08-04
SHOT,3,41,1104-1,539,08:24:03,2021-08-04
SHOT,3,41,1104-1,539,08:24:07,2021-08-04
SHOT,3,41,1104-1,539,08:24:11,2021-08-04
SHOT,3,41,1104-1,539,08:24:18,2021-08-04
SHOT,3,41,1104-1,539,08:24:23,2021-08-04
SHOT,3,41,1104-1,539,08:24:29,2021-08-04
SHOT,3,41,1104-1,539,08:24:33,2021-08-04
SHOT,3,41,1104-1,539,08:24:40,2021-08-04
SHOT,3,41,1104-1,539,08:24:43,2021-08-04
SHOT,3,41,1104-1,539,08:24:47,2021-08-04
SHOT,3,41,1104-1,539,08:24:51,2021-08-04
SHOT,3,41,1104-1,539,08:24:55,2021-08-04
SHOT,3,41,1104-1,539,08:24:58,2021-08-04
SHOT,3,41,1104-1,539,08:25:03,2021-08-04
SHOT,3,41,1104-1,539,08:25:10,2021-08-04
SHOT,3,41,1104-1,539,08:25:16,2021-08-04
SHOT,3,41,1104-1,539,08:25:20,2021-08-04
SHOT,3,41,1104-1,539,08:25:23,2021-08-04
SHOT,3,41,1104-1,539,08:25:26,2021-08-04
SHOT,3,41,1104-1,539,08:25:35,2021-08-04
SHOT,3,41,1104-1,539,08:25:39,2021-08-04
SHOT,3,41,1104-1,539,08:25:42,2021-08-04
SHOT,3,41,1104-1,539,08:25:46,2021-08-04
SHOT,3,41,1104-1,539,08:25:49,2021-08-04
SHOT,3,41,1104-1,539,08:25:55,2021-08-04
SHOT,3,41,1104-1,539,08:25:58,2021-08-04
SHOT,3,41,1104-1,539,08:26:02,2021-08-04
SHOT,3,41,1104-1,539,08:26:05,2021-08-04
SHOT,3,41,1104-1,539,08:26:08,2021-08-04
SHOT,3,41,1104-1,539,08:26:16,2021-08-04
SHOT,3,41,1104-1,539,08:26:20,2021-08-04
SHOT,3,41,1104-1,539,08:26:27,2021-08-04
SHOT,3,41,1104-1,539,08:26:31,2021-08-04
SHOT,3,41,1104-1,539,08:26:34,2021-08-04
SHOT,3,41,1104-1,539,08:26:39,2021-08-04
SHOT,3,41,1104-1,539,08:26:42,2021-08-04
SHOT,3,41,1104-1,539,08:26:45,2021-08-04
SHOT,3,41,1104-1,539,08:26:54,2021-08-04
SHOT,3,41,1104-1,539,08:26:59,2021-08-04
SHOT,3,41,1104-1,539,08:27:03,2021-08-04
SHOT,3,41,1104-1,539,08:27:09,2021-08-04
SHOT,3,41,1104-1,539,08:27:15,2021-08-04
SHOT,3,41,1104-1,539,08:27:18,2021-08-04
SHOT,3,41,1104-1,539,08:27:21,2021-08-04
SHOT,3,41,1104-1,539,08:27:25,2021-08-04
SHOT,3,41,1104-1,539,08:27:28,2021-08-04
SHOT,3,41,1104-1,539,08:27:38,2021-08-04
SHOT,3,41,1104-1,539,08:27:41,2021-08-04
SHOT,3,41,1104-1,539,08:27:46,2021-08-04
SHOT,3,41,1104-1,539,08:27:49,2021-08-04
SHOT,3,41,1104-1,539,08:27:53,2021-08-04
SHOT,3,41,1104-1,539,08:28:00,2021-08-04
SHOT,3,41,1104-1,539,08:28:04,2021-08-04
SHOT,3,41,1104-1,539,08:28:09,2021-08-04
SHOT,3,41,1104-1,539,08:28:12,2021-08-04
SHOT,3,41,1104-1,539,08:28:16,2021-08-04
SHOT,3,41,1104-1,539,08:28:20,2021-08-04
SHOT,3,41,1104-1,539,08:28:28,2021-08-04
SHOT,3,41,1104-1,539,08:28:32,2021-08-04
SHOT,3,41,1104-1,539,08:28:35,2021-08-04
SHOT,3,41,1104-1,539,08:28:39,2021-08-04
SHOT,3,41,1104-1,539,08:28:47,2021-08-04
SHOT,3,41,1104-1,539,08:28:50,2021-08-04
SHOT,3,41,1104-1,539,08:28:56,2021-08-04
SHOT,3,41,1104-1,539,08:29:00,2021-08-04
SHOT,3,41,1104-1,539,08:29:03,2021-08-04
SHOT,3,41,1104-1,539,08:29:07,2021-08-04
SHOT,3,41,1104-1,539,08:29:11,2021-08-04
SHOT,3,41,1104-1,539,08:29:52,2021-08-04
SHOT,3,41,1104-1,539,08:29:55,2021-08-04
SHOT,3,41,1104-1,539,08:29:59,2021-08-04
SHOT,3,41,1104-1,539,08:30:05,2021-08-04
SHOT,3,41,1104-1,539,08:30:10,2021-08-04
SHOT,3,41,1104-1,539,08:30:14,2021-08-04
SHOT,3,41,1104-1,539,08:30:24,2021-08-04
SHOT,3,41,1104-1,539,08:30:28,2021-08-04
SHOT,3,41,1104-1,539,08:30:33,2021-08-04
SHOT,3,41,1104-1,539,08:30:36,2021-08-04
SHOT,3,41,1104-1,539,08:30:41,2021-08-04
SHOT,3,41,1104-1,539,08:30:44,2021-08-04
SHOT,3,41,1104-1,539,08:30:48,2021-08-04
SHOT,3,41,1104-1,539,08:30:52,2021-08-04
SHOT,3,41,1104-1,539,08:30:55,2021-08-04
SHOT,3,41,1104-1,539,08:30:59,2021-08-04
SHOT,3,41,1104-1,539,08:31:12,2021-08-04
SHOT,3,41,1104-1,539,08:31:16,2021-08-04
SHOT,3,41,1104-1,539,08:31:19,2021-08-04
SHOT,3,41,1104-1,539,08:31:22,2021-08-04
SHOT,3,41,1104-1,539,08:31:26,2021-08-04
SHOT,3,41,1104-1,539,08:31:29,2021-08-04
SHOT,3,41,1104-1,539,08:31:35,2021-08-04
SHOT,3,41,1104-1,539,08:31:38,2021-08-04
SHOT,3,41,1104-1,539,08:31:42,2021-08-04
SHOT,3,41,1104-1,539,08:31:48,2021-08-04
SHOT,3,41,1104-1,539,08:31:51,2021-08-04
SHOT,3,41,1104-1,539,08:32:00,2021-08-04
