Type,pi,Machine,Part,User_ID,Time,Date
LOG_ON,3,41,1104,330,08:22:37,2021-11-22
SHOT,3,41,1104,330,08:22:50,2021-11-22
SHOT,3,41,1104,330,08:23:18,2021-11-22
SHOT,3,41,1104,330,08:23:23,2021-11-22
SHOT,3,41,1104,330,08:23:28,2021-11-22
SHOT,3,41,1104,330,08:23:32,2021-11-22
SHOT,3,41,1104,330,08:23:38,2021-11-22
SHOT,3,41,1104,330,08:23:58,2021-11-22
SHOT,3,41,1104,330,08:24:08,2021-11-22
SHOT,3,41,1104,330,08:24:14,2021-11-22
SHOT,3,41,1104,330,08:24:17,2021-11-22
SHOT,3,41,1104,330,08:24:20,2021-11-22
SHOT,3,41,1104,330,08:24:25,2021-11-22
SHOT,3,41,1104,330,08:24:28,2021-11-22
SHOT,3,41,1104,330,08:24:32,2021-11-22
SHOT,3,41,1104,330,08:24:36,2021-11-22
SHOT,3,41,1104,330,08:24:40,2021-11-22
SHOT,3,41,1104,330,08:24:44,2021-11-22
SHOT,3,41,1104,330,08:24:47,2021-11-22
SHOT,3,41,1104,330,08:24:52,2021-11-22
SHOT,3,41,1104,330,08:24:55,2021-11-22
SHOT,3,41,1104,330,08:25:01,2021-11-22
SHOT,3,41,1104,330,08:25:04,2021-11-22
SHOT,3,41,1104,330,08:25:07,2021-11-22
SHOT,3,41,1104,330,08:25:13,2021-11-22
SHOT,3,41,1104,330,08:25:17,2021-11-22
SHOT,3,41,1104,330,08:25:20,2021-11-22
SHOT,3,41,1104,330,08:25:24,2021-11-22
SHOT,3,41,1104,330,08:25:28,2021-11-22
SHOT,3,41,1104,330,08:25:33,2021-11-22
SHOT,3,41,1104,330,08:25:37,2021-11-22
SHOT,3,41,1104,330,08:25:40,2021-11-22
SHOT,3,41,1104,330,08:25:47,2021-11-22
SHOT,3,41,1104,330,08:25:51,2021-11-22
SHOT,3,41,1104,330,08:25:55,2021-11-22
SHOT,3,41,1104,330,08:25:59,2021-11-22
SHOT,3,41,1104,330,08:26:05,2021-11-22
SHOT,3,41,1104,330,08:26:09,2021-11-22
SHOT,3,41,1104,330,08:26:12,2021-11-22
LOG_OFF,3,41,1104,330,08:26:30,2021-11-22
LOG_ON,3,41,1104,330,13:28:27,2021-11-22
SHOT,3,41,1104,330,13:28:39,2021-11-22
SHOT,3,41,1104,330,13:28:43,2021-11-22
SHOT,3,41,1104,330,13:28:46,2021-11-22
SHOT,3,41,1104,330,13:28:50,2021-11-22
SHOT,3,41,1104,330,13:28:54,2021-11-22
SHOT,3,41,1104,330,13:28:57,2021-11-22
SHOT,3,41,1104,330,13:29:02,2021-11-22
SHOT,3,41,1104,330,13:29:06,2021-11-22
SHOT,3,41,1104,330,13:29:14,2021-11-22
SHOT,3,41,1104,330,13:29:17,2021-11-22
SHOT,3,41,1104,330,13:29:21,2021-11-22
SHOT,3,41,1104,330,13:29:27,2021-11-22
SHOT,3,41,1104,330,13:29:35,2021-11-22
