Type,pi,Machine,Part,User_ID,Time,Date
LOG_ON,3,41,36650,306,10:41:45,2021-10-25
SHOT,3,41,36650,306,10:41:52,2021-10-25
SHOT,3,41,36650,306,10:41:55,2021-10-25
SHOT,3,41,36650,306,10:42:01,2021-10-25
SHOT,3,41,36650,306,10:42:06,2021-10-25
SHOT,3,41,36650,306,10:42:15,2021-10-25
LOG_OFF,3,41,36650,306,10:42:25,2021-10-25
LOG_ON,3,41,1104,418,10:47:28,2021-10-25
SHOT,3,41,1104,418,10:48:04,2021-10-25
SHOT,3,41,1104,418,10:48:09,2021-10-25
SHOT,3,41,1104,418,10:48:15,2021-10-25
SHOT,3,41,1104,418,10:48:20,2021-10-25
SHOT,3,41,1104,418,10:48:25,2021-10-25
SHOT,3,41,1104,418,10:48:30,2021-10-25
SHOT,3,41,1104,418,10:49:42,2021-10-25
SHOT,3,41,1104,418,10:49:46,2021-10-25
SHOT,3,41,1104,418,10:49:49,2021-10-25
SHOT,3,41,1104,418,10:49:54,2021-10-25
SHOT,3,41,1104,418,10:49:57,2021-10-25
SHOT,3,41,1104,418,10:50:00,2021-10-25
SHOT,3,41,1104,418,10:50:03,2021-10-25
SHOT,3,41,1104,418,10:50:08,2021-10-25
SHOT,3,41,1104,418,10:50:12,2021-10-25
SHOT,3,41,1104,418,10:50:15,2021-10-25
SHOT,3,41,1104,418,10:50:18,2021-10-25
SHOT,3,41,1104,418,10:50:25,2021-10-25
SHOT,3,41,1104,418,10:50:28,2021-10-25
SHOT,3,41,1104,418,10:50:31,2021-10-25
SHOT,3,41,1104,418,10:50:35,2021-10-25
SHOT,3,41,1104,418,10:53:34,2021-10-25
SHOT,3,41,1104,418,10:53:37,2021-10-25
SHOT,3,41,1104,418,10:53:40,2021-10-25
SHOT,3,41,1104,418,10:53:42,2021-10-25
SHOT,3,41,1104,418,10:53:47,2021-10-25
SHOT,3,41,1104,418,10:53:50,2021-10-25
SHOT,3,41,1104,418,10:53:54,2021-10-25
SHOT,3,41,1104,418,10:54:05,2021-10-25
SHOT,3,41,1104,418,10:54:10,2021-10-25
SHOT,3,41,1104,418,10:54:34,2021-10-25
SHOT,3,41,1104,418,10:54:37,2021-10-25
SHOT,3,41,1104,418,10:54:40,2021-10-25
SHOT,3,41,1104,418,10:54:42,2021-10-25
SHOT,3,41,1104,418,10:55:07,2021-10-25
SHOT,3,41,1104,418,10:55:09,2021-10-25
SHOT,3,41,1104,418,10:55:12,2021-10-25
SHOT,3,41,1104,418,10:55:15,2021-10-25
SHOT,3,41,1104,418,10:55:18,2021-10-25
SHOT,3,41,1104,418,10:55:21,2021-10-25
SHOT,3,41,1104,418,10:55:24,2021-10-25
SHOT,3,41,1104,418,10:55:28,2021-10-25
SHOT,3,41,1104,418,10:55:32,2021-10-25
SHOT,3,41,1104,418,10:55:34,2021-10-25
SHOT,3,41,1104,418,10:55:37,2021-10-25
SHOT,3,41,1104,418,10:55:40,2021-10-25
SHOT,3,41,1104,418,10:55:43,2021-10-25
SHOT,3,41,1104,418,10:55:45,2021-10-25
SHOT,3,41,1104,418,10:55:48,2021-10-25
SHOT,3,41,1104,418,10:55:51,2021-10-25
SHOT,3,41,1104,418,10:55:55,2021-10-25
SHOT,3,41,1104,418,10:55:59,2021-10-25
SHOT,3,41,1104,418,10:56:01,2021-10-25
SHOT,3,41,1104,418,10:56:04,2021-10-25
SHOT,3,41,1104,418,10:56:08,2021-10-25
SHOT,3,41,1104,418,10:56:11,2021-10-25
SHOT,3,41,1104,418,10:56:14,2021-10-25
SHOT,3,41,1104,418,10:56:17,2021-10-25
SHOT,3,41,1104,418,10:56:20,2021-10-25
SHOT,3,41,1104,418,10:56:23,2021-10-25
SHOT,3,41,1104,418,10:56:27,2021-10-25
SHOT,3,41,1104,418,10:56:30,2021-10-25
SHOT,3,41,1104,418,10:56:33,2021-10-25
SHOT,3,41,1104,418,10:56:36,2021-10-25
SHOT,3,41,1104,418,10:56:39,2021-10-25
SHOT,3,41,1104,418,10:56:47,2021-10-25
SHOT,3,41,1104,418,10:56:50,2021-10-25
SHOT,3,41,1104,418,10:56:53,2021-10-25
SHOT,3,41,1104,418,10:56:56,2021-10-25
SHOT,3,41,1104,418,10:57:00,2021-10-25
SHOT,3,41,1104,418,10:57:02,2021-10-25
SHOT,3,41,1104,418,10:57:05,2021-10-25
SHOT,3,41,1104,418,10:57:08,2021-10-25
SHOT,3,41,1104,418,10:57:11,2021-10-25
SHOT,3,41,1104,418,10:57:13,2021-10-25
SHOT,3,41,1104,418,10:57:16,2021-10-25
SHOT,3,41,1104,418,10:57:19,2021-10-25
SHOT,3,41,1104,418,10:57:22,2021-10-25
SHOT,3,41,1104,418,10:57:25,2021-10-25
SHOT,3,41,1104,418,10:57:28,2021-10-25
SHOT,3,41,1104,418,10:57:31,2021-10-25
SHOT,3,41,1104,418,10:57:33,2021-10-25
SHOT,3,41,1104,418,10:57:37,2021-10-25
SHOT,3,41,1104,418,10:57:39,2021-10-25
SHOT,3,41,1104,418,10:57:43,2021-10-25
SHOT,3,41,1104,418,10:57:45,2021-10-25
SHOT,3,41,1104,418,10:57:48,2021-10-25
SHOT,3,41,1104,418,10:57:51,2021-10-25
SHOT,3,41,1104,418,10:57:54,2021-10-25
SHOT,3,41,1104,418,10:57:57,2021-10-25
SHOT,3,41,1104,418,10:58:00,2021-10-25
SHOT,3,41,1104,418,10:58:02,2021-10-25
SHOT,3,41,1104,418,10:58:06,2021-10-25
SHOT,3,41,1104,418,10:58:09,2021-10-25
SHOT,3,41,1104,418,10:58:12,2021-10-25
SHOT,3,41,1104,418,10:58:15,2021-10-25
SHOT,3,41,1104,418,10:58:19,2021-10-25
SHOT,3,41,1104,418,10:58:22,2021-10-25
SHOT,3,41,1104,418,10:58:24,2021-10-25
SHOT,3,41,1104,418,10:58:27,2021-10-25
SHOT,3,41,1104,418,10:58:30,2021-10-25
SHOT,3,41,1104,418,10:58:33,2021-10-25
SHOT,3,41,1104,418,10:58:36,2021-10-25
SHOT,3,41,1104,418,10:58:39,2021-10-25
SHOT,3,41,1104,418,10:58:42,2021-10-25
SHOT,3,41,1104,418,10:58:45,2021-10-25
SHOT,3,41,1104,418,10:58:48,2021-10-25
SHOT,3,41,1104,418,10:58:50,2021-10-25
SHOT,3,41,1104,418,10:59:32,2021-10-25
SHOT,3,41,1104,418,10:59:36,2021-10-25
SHOT,3,41,1104,418,10:59:39,2021-10-25
SHOT,3,41,1104,418,10:59:42,2021-10-25
SHOT,3,41,1104,418,10:59:44,2021-10-25
SHOT,3,41,1104,418,10:59:47,2021-10-25
SHOT,3,41,1104,418,10:59:50,2021-10-25
SHOT,3,41,1104,418,10:59:53,2021-10-25
SHOT,3,41,1104,418,10:59:56,2021-10-25
SHOT,3,41,1104,418,10:59:59,2021-10-25
SHOT,3,41,1104,418,11:00:02,2021-10-25
SHOT,3,41,1104,418,11:00:06,2021-10-25
SHOT,3,41,1104,418,11:00:10,2021-10-25
SHOT,3,41,1104,418,11:00:17,2021-10-25
SHOT,3,41,1104,418,11:00:21,2021-10-25
SHOT,3,41,1104,418,11:00:32,2021-10-25
SHOT,3,41,1104,418,11:00:43,2021-10-25
SHOT,3,41,1104,418,11:00:50,2021-10-25
SHOT,3,41,1104,418,11:00:52,2021-10-25
SHOT,3,41,1104,418,11:00:55,2021-10-25
SHOT,3,41,1104,418,11:00:58,2021-10-25
SHOT,3,41,1104,418,11:01:01,2021-10-25
SHOT,3,41,1104,418,11:01:05,2021-10-25
SHOT,3,41,1104,418,11:01:09,2021-10-25
SHOT,3,41,1104,418,11:01:12,2021-10-25
SHOT,3,41,1104,418,11:01:15,2021-10-25
SHOT,3,41,1104,418,11:01:24,2021-10-25
SHOT,3,41,1104,418,11:01:27,2021-10-25
SHOT,3,41,1104,418,11:01:30,2021-10-25
SHOT,3,41,1104,418,11:01:33,2021-10-25
SHOT,3,41,1104,418,11:01:37,2021-10-25
SHOT,3,41,1104,418,11:01:40,2021-10-25
SHOT,3,41,1104,418,11:01:43,2021-10-25
SHOT,3,41,1104,418,11:01:46,2021-10-25
SHOT,3,41,1104,418,11:01:49,2021-10-25
SHOT,3,41,1104,418,11:01:52,2021-10-25
SHOT,3,41,1104,418,11:01:55,2021-10-25
SHOT,3,41,1104,418,11:01:58,2021-10-25
SHOT,3,41,1104,418,11:02:01,2021-10-25
SHOT,3,41,1104,418,11:02:04,2021-10-25
SHOT,3,41,1104,418,11:02:08,2021-10-25
SHOT,3,41,1104,418,11:02:10,2021-10-25
SHOT,3,41,1104,418,11:02:14,2021-10-25
SHOT,3,41,1104,418,11:02:18,2021-10-25
SHOT,3,41,1104,418,11:02:21,2021-10-25
SHOT,3,41,1104,418,11:02:27,2021-10-25
SHOT,3,41,1104,418,11:02:30,2021-10-25
SHOT,3,41,1104,418,11:02:34,2021-10-25
SHOT,3,41,1104,418,11:02:36,2021-10-25
SHOT,3,41,1104,418,11:02:39,2021-10-25
SHOT,3,41,1104,418,11:02:43,2021-10-25
SHOT,3,41,1104,418,11:02:47,2021-10-25
SHOT,3,41,1104,418,11:05:40,2021-10-25
SHOT,3,41,1104,418,11:05:44,2021-10-25
SHOT,3,41,1104,418,11:05:46,2021-10-25
SHOT,3,41,1104,418,11:05:49,2021-10-25
SHOT,3,41,1104,418,11:05:52,2021-10-25
SHOT,3,41,1104,418,11:05:55,2021-10-25
SHOT,3,41,1104,418,11:05:58,2021-10-25
SHOT,3,41,1104,418,11:06:01,2021-10-25
SHOT,3,41,1104,418,11:06:05,2021-10-25
SHOT,3,41,1104,418,11:06:08,2021-10-25
SHOT,3,41,1104,418,11:06:11,2021-10-25
SHOT,3,41,1104,418,11:06:14,2021-10-25
SHOT,3,41,1104,418,11:06:17,2021-10-25
SHOT,3,41,1104,418,11:06:20,2021-10-25
SHOT,3,41,1104,418,11:06:23,2021-10-25
SHOT,3,41,1104,418,11:06:28,2021-10-25
SHOT,3,41,1104,418,11:06:31,2021-10-25
SHOT,3,41,1104,418,11:06:34,2021-10-25
SHOT,3,41,1104,418,11:06:36,2021-10-25
SHOT,3,41,1104,418,11:06:40,2021-10-25
SHOT,3,41,1104,418,11:06:42,2021-10-25
SHOT,3,41,1104,418,11:06:45,2021-10-25
SHOT,3,41,1104,418,11:06:48,2021-10-25
SHOT,3,41,1104,418,11:06:53,2021-10-25
SHOT,3,41,1104,418,11:06:56,2021-10-25
SHOT,3,41,1104,418,11:06:59,2021-10-25
SHOT,3,41,1104,418,11:07:02,2021-10-25
SHOT,3,41,1104,418,11:07:05,2021-10-25
SHOT,3,41,1104,418,11:07:08,2021-10-25
SHOT,3,41,1104,418,11:07:10,2021-10-25
SHOT,3,41,1104,418,11:07:13,2021-10-25
SHOT,3,41,1104,418,11:07:16,2021-10-25
SHOT,3,41,1104,418,11:07:19,2021-10-25
SHOT,3,41,1104,418,11:07:22,2021-10-25
SHOT,3,41,1104,418,11:07:26,2021-10-25
SHOT,3,41,1104,418,11:07:29,2021-10-25
SHOT,3,41,1104,418,11:07:32,2021-10-25
SHOT,3,41,1104,418,11:07:35,2021-10-25
SHOT,3,41,1104,418,11:07:38,2021-10-25
SHOT,3,41,1104,418,11:07:41,2021-10-25
SHOT,3,41,1104,418,11:07:43,2021-10-25
SHOT,3,41,1104,418,11:07:46,2021-10-25
SHOT,3,41,1104,418,11:07:49,2021-10-25
SHOT,3,41,1104,418,11:07:52,2021-10-25
SHOT,3,41,1104,418,11:07:55,2021-10-25
SHOT,3,41,1104,418,11:07:58,2021-10-25
SHOT,3,41,1104,418,11:08:01,2021-10-25
SHOT,3,41,1104,418,11:08:07,2021-10-25
SHOT,3,41,1104,418,11:08:10,2021-10-25
SHOT,3,41,1104,418,11:08:13,2021-10-25
SHOT,3,41,1104,418,11:08:16,2021-10-25
SHOT,3,41,1104,418,11:08:18,2021-10-25
SHOT,3,41,1104,418,11:08:22,2021-10-25
SHOT,3,41,1104,418,11:08:25,2021-10-25
SHOT,3,41,1104,418,11:08:27,2021-10-25
SHOT,3,41,1104,418,11:08:30,2021-10-25
SHOT,3,41,1104,418,11:08:32,2021-10-25
SHOT,3,41,1104,418,11:08:35,2021-10-25
SHOT,3,41,1104,418,11:08:38,2021-10-25
SHOT,3,41,1104,418,11:08:41,2021-10-25
SHOT,3,41,1104,418,11:08:44,2021-10-25
SHOT,3,41,1104,418,11:08:48,2021-10-25
SHOT,3,41,1104,418,11:08:50,2021-10-25
SHOT,3,41,1104,418,11:08:53,2021-10-25
SHOT,3,41,1104,418,11:08:57,2021-10-25
SHOT,3,41,1104,418,11:09:56,2021-10-25
SHOT,3,41,1104,418,11:09:59,2021-10-25
SHOT,3,41,1104,418,11:10:01,2021-10-25
SHOT,3,41,1104,418,11:10:04,2021-10-25
SHOT,3,41,1104,418,11:10:08,2021-10-25
SHOT,3,41,1104,418,11:10:10,2021-10-25
SHOT,3,41,1104,418,11:10:13,2021-10-25
SHOT,3,41,1104,418,11:10:16,2021-10-25
SHOT,3,41,1104,418,11:10:19,2021-10-25
SHOT,3,41,1104,418,11:10:22,2021-10-25
SHOT,3,41,1104,418,11:10:25,2021-10-25
SHOT,3,41,1104,418,11:10:30,2021-10-25
SHOT,3,41,1104,418,11:10:33,2021-10-25
SHOT,3,41,1104,418,11:10:36,2021-10-25
SHOT,3,41,1104,418,11:10:39,2021-10-25
SHOT,3,41,1104,418,11:10:43,2021-10-25
SHOT,3,41,1104,418,11:10:46,2021-10-25
SHOT,3,41,1104,418,11:10:48,2021-10-25
SHOT,3,41,1104,418,11:10:52,2021-10-25
SHOT,3,41,1104,418,11:10:55,2021-10-25
SHOT,3,41,1104,418,11:10:58,2021-10-25
SHOT,3,41,1104,418,11:11:01,2021-10-25
SHOT,3,41,1104,418,11:11:04,2021-10-25
SHOT,3,41,1104,418,11:11:07,2021-10-25
SHOT,3,41,1104,418,11:11:10,2021-10-25
SHOT,3,41,1104,418,11:11:12,2021-10-25
SHOT,3,41,1104,418,11:11:15,2021-10-25
SHOT,3,41,1104,418,11:11:18,2021-10-25
SHOT,3,41,1104,418,11:11:21,2021-10-25
SHOT,3,41,1104,418,11:11:27,2021-10-25
SHOT,3,41,1104,418,11:11:31,2021-10-25
SHOT,3,41,1104,418,11:11:34,2021-10-25
SHOT,3,41,1104,418,11:11:37,2021-10-25
SHOT,3,41,1104,418,11:11:40,2021-10-25
SHOT,3,41,1104,418,11:11:43,2021-10-25
SHOT,3,41,1104,418,11:11:46,2021-10-25
SHOT,3,41,1104,418,11:11:49,2021-10-25
SHOT,3,41,1104,418,11:11:52,2021-10-25
SHOT,3,41,1104,418,11:11:54,2021-10-25
SHOT,3,41,1104,418,11:11:57,2021-10-25
SHOT,3,41,1104,418,11:12:00,2021-10-25
SHOT,3,41,1104,418,11:12:03,2021-10-25
SHOT,3,41,1104,418,11:12:07,2021-10-25
SHOT,3,41,1104,418,11:12:09,2021-10-25
SHOT,3,41,1104,418,11:12:12,2021-10-25
SHOT,3,41,1104,418,11:12:15,2021-10-25
SHOT,3,41,1104,418,11:12:18,2021-10-25
SHOT,3,41,1104,418,11:12:22,2021-10-25
SHOT,3,41,1104,418,11:12:25,2021-10-25
SHOT,3,41,1104,418,11:12:28,2021-10-25
SHOT,3,41,1104,418,11:12:31,2021-10-25
SHOT,3,41,1104,418,11:12:34,2021-10-25
SHOT,3,41,1104,418,11:12:37,2021-10-25
SHOT,3,41,1104,418,11:12:40,2021-10-25
SHOT,3,41,1104,418,11:12:43,2021-10-25
SHOT,3,41,1104,418,11:12:45,2021-10-25
SHOT,3,41,1104,418,11:12:48,2021-10-25
SHOT,3,41,1104,418,11:12:52,2021-10-25
SHOT,3,41,1104,418,11:12:55,2021-10-25
SHOT,3,41,1104,418,11:12:58,2021-10-25
SHOT,3,41,1104,418,11:13:01,2021-10-25
SHOT,3,41,1104,418,11:13:04,2021-10-25
SHOT,3,41,1104,418,11:13:07,2021-10-25
SHOT,3,41,1104,418,11:13:11,2021-10-25
SHOT,3,41,1104,418,11:13:14,2021-10-25
SHOT,3,41,1104,418,11:13:17,2021-10-25
SHOT,3,41,1104,418,11:13:19,2021-10-25
SHOT,3,41,1104,418,11:13:23,2021-10-25
SHOT,3,41,1104,418,11:13:26,2021-10-25
SHOT,3,41,1104,418,11:13:29,2021-10-25
SHOT,3,41,1104,418,11:13:32,2021-10-25
SHOT,3,41,1104,418,11:13:34,2021-10-25
SHOT,3,41,1104,418,11:13:38,2021-10-25
SHOT,3,41,1104,418,11:13:41,2021-10-25
SHOT,3,41,1104,418,11:13:44,2021-10-25
SHOT,3,41,1104,418,11:13:47,2021-10-25
SHOT,3,41,1104,418,11:13:50,2021-10-25
SHOT,3,41,1104,418,11:13:52,2021-10-25
SHOT,3,41,1104,418,11:13:55,2021-10-25
SHOT,3,41,1104,418,11:13:58,2021-10-25
SHOT,3,41,1104,418,11:14:01,2021-10-25
SHOT,3,41,1104,418,11:14:04,2021-10-25
SHOT,3,41,1104,418,11:14:07,2021-10-25
SHOT,3,41,1104,418,11:14:10,2021-10-25
SHOT,3,41,1104,418,11:14:13,2021-10-25
SHOT,3,41,1104,418,11:14:15,2021-10-25
